index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,Status,Citation,StatusAltValue
237,2011,1,IL,Illinois,Nutrition,Appropriations,Community,An Act Making Appropriations,Dead,S2404,3
238,2009,1,LA,Louisiana,Nutrition,Appropriations,Community,Sales Tax Holiday,Dead,H25,3
239,2011,1,HI,Hawaii,Nutrition,Appropriations,Restaurant/Retail,Aspartame,Dead,S827,3
240,2009,1,MA,Massachusetts,Physical Activity,Physical Education Requirements,School/After School,Quality Physical Education,Dead,S248,3
241,2009,1,WV,West Virginia,Obesity,Appropriations,School/After School,Patient Centered Medical Homes Pilot Projects,Enacted,S414,1
242,2010,1,NY,New York,Physical Activity,Bicycling,Community,Bicycle Tourism Kiosks,Dead,A10325,3
243,2009,1,MI,Michigan,Obesity,Appropriations,Community,Recreational Authorities Act,Dead,H4700,3
244,2011,1,MO,Missouri,Obesity,Appropriations,School/After School,Public Schools Ballroom Dance Courses,Dead,H169,3
245,2010,1,VA,Virginia,Nutrition,Farm Direct Foods,Restaurant/Retail,State Grown Food Products,Dead,H398,3
246,2011,1,NY,New York,Obesity,Appropriations,School/After School,Office Of Nutrition And Fitness,Dead,S1735,3
247,2009,1,GA,Georgia,Physical Activity,Pedestrians/Walking,Community,Local Government,Enacted,H63,1
248,2011,1,WA,Washington,Physical Activity,Public Transportation,Community,Statewide Transportation Planning,Dead,H1747,3
249,2011,1,MN,Minnesota,Obesity,Appropriations,Community,Capital Investment,Dead,H1324,3
250,2010,1,TX,Texas,Nutrition,Initiatives and Programs,Early Care and Education,Developmental Activities And Activity Plan,Enacted,R18457,1
251,2013,1,NY,New York,Nutrition,Disparities/Equity,Community,An Act to Amend the New York State Urban Development Corporation Act,Introduced,AB2483,0
252,2008,1,TX,Texas,Obesity,Health Insurance Coverage,Work Place,Wellness Programs,Enacted,R14735,1
253,2011,1,MS,Mississippi,Physical Activity,Physical Activity Requirements,School/After School,Sweetened Beverages and Syrups Tax,Dead,S2678,3
254,2012,1,IA,Iowa,Nutrition,Initiatives and Programs,Community,An Act Providing for Charitable Food Donations,Dead,SSB3095,3
255,2014,1,WA,Washington,Nutrition,Disparities/Equity,Early Care and Education,The Apple a Day Act,Introduced,HB2410,0
256,2009,1,TN,Tennessee,Physical Activity,Public Transportation,Community,Safety Department,Dead,H1319,3
257,2011,1,OK,Oklahoma,Nutrition,Liability and Indemnity,Community,Driver Licenses,Dead,S487,3
258,2014,2,MA,Massachusetts,Physical Activity,Bicycling,Community,Parks Appropriations,Dead,HB4150,3
259,2011,1,MA,Massachusetts,Obesity,Appropriations,School/After School,Nutritional Meals in the Public Schools,Dead,H1056,3
260,2011,1,CO,Colorado,Physical Activity,Public Transportation,Community,Senate Bill Funding Restriction,Dead,H1075,3
261,2004,1,MO,Missouri,Physical Activity,Task Forces/Councils,Community,Departments of Transportation and Public Safety,Enacted,HB1005,1
262,2010,1,MN,Minnesota,Obesity,Appropriations,Community,Human Services,Enacted,S2855,1
263,2011,1,SC,South Carolina,Obesity,Portion Size,School/After School,School Sold Snacks,Dead,S498,3
264,2010,1,CO,Colorado,Nutrition,Task Forces/Councils,Community,Campaign to End Childhood Hunger By 2015,Enacted,EO29,1
265,2011,1,NY,New York,Obesity,Appropriations,Community,Objects Or Purposes for Which Certain Bonds Were Issued,Enacted,S5200,1
266,2009,1,RI,Rhode Island,Physical Activity,Built Environment and Street-Scale Design,Community,Motor and Other Vehicles,Dead,H5242,3
267,2010,1,IA,Iowa,Nutrition,Appropriations,Work Place,Accommodation in the Workplace,Dead,H2274,3
268,2010,1,GA,Georgia,Nutrition,Farm Direct Foods,Community,State Fiscal Year Appropriations,Enacted,H947,1
269,2011,1,AL,Alabama,Physical Activity,Pedestrians/Walking,Community,Traffic Control Legends,Dead,H528,3
270,2011,1,MS,Mississippi,Nutrition,Disparities/Equity,Community,Healthy Food Retail,Dead,S2685,3
271,2013,2,NY,New York,Nutrition,Agriculture and Farming,Community,An Act to Amend the Agriculture and Market Law,Introduced,AB7572,0
272,2010,1,VA,Virginia,Nutrition,Nutrition Standards,School/After School,Competitive Foods in Public Schools,Dead,H1067,3
273,2007,1,NM,New Mexico,Physical Activity,Pedestrians/Walking,Community,An Act Relating to the Expenditure of Public Money<br>,Enacted,S710,1
274,2011,1,MA,Massachusetts,Obesity,Body Mass Index (BMI),Community,Transportation Infrastructure Revolving Fund,Dead,H3248,3
275,2011,1,ID,Idaho,Obesity,Menu Labeling,Community,Local Land Use Planning and Production,Enacted,H148,1
276,2009,1,MN,Minnesota,Obesity,Body Mass Index (BMI),Community,Capital Improvements,Dead,H316,3
277,2009,1,NJ,New Jersey,Obesity,Menu Labeling,Community,Commission Assistance Program,Enacted,R18358,1
278,2003,1,ND,North Dakota,Nutrition,Appropriations,Work Place,Employer-Based Wellness Program,Enacted,SB2060,1
279,2009,1,OH,Ohio,Physical Activity,Pedestrians/Walking,School/After School,Transportation Innovation Authorities,Dead,H166,3
280,2011,1,CA,California,Obesity,Appropriations,Community,Local Development,Dead,S310,3
281,2011,1,NV,Nevada,Nutrition,Media Campaigns,School/After School,Use of Athletic Fields for Youth Sports,Enacted,A227,1
282,2011,1,MS,Mississippi,Nutrition,Farm Direct Foods,Community,Mississippi Dairy Industry Stabilization Act,Dead,H586,3
283,2012,1,MA,Massachusetts,Physical Activity,Pedestrians/Walking,Community,Finance Improvements to the Commonwealth's Transportation System<br>,Dead,H4193,3
284,2010,1,DC,District of Columbia,Physical Activity,Appropriations,Community,Fiscal Year 2011 Balanced Budget Support Emergency Act,Enacted,B1098,1
285,2010,1,OK,Oklahoma,Obesity,Appropriations,Medical and/or Hospital,"My Life, My Choice Waiver",Enacted,R16418,1
286,2010,1,MA,Massachusetts,Physical Activity,Task Forces/Councils,School/After School,Quality Physical Education,Dead,S2294,3
287,2011,1,MO,Missouri,Physical Activity,Disabilities,Community,Department of Revenue and Department of Transportation,Enacted,H4,1
288,2011,1,OK,Oklahoma,Nutrition,Incentives,Community,Public Health And Safety,Dead,H1579,3
289,2009,1,MA,Massachusetts,Physical Activity,Bicycling,School/After School,Transportation System Modernization,Enacted,S2087,1
