index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,DataSource,Setting,Title,Status,Citation,StatusAltValue
1363,2011,1,MT,Montana,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Recommendations on Reducing Childhood Hunger,Dead,D1088,3
1364,2010,1,UT,Utah,Obesity,Body Mass Index (BMI),DNPAO,School/After School,Public School Funding,Enacted,H166,1
1365,2011,1,WA,Washington,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Residential Infrastructure Development,Dead,H1624,3
1366,2009,1,ME,Maine,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Childhood Obesity Reduction,Dead,LR479,3
1367,2010,1,CA,California,Obesity,Access to Drinking Water,DNPAO,School/After School,Health and Human Services: Federal Grant Opportunities,Dead,A70,3
1368,2009,1,HI,Hawaii,Nutrition,Disparities/Equity,DNPAO,Community,Childhood Obesity and Marketing,Dead,H1674,3
1369,2011,1,MS,Mississippi,Physical Activity,Safe Routes to Schools,DNPAO,School/After School,Sweetened Beverages and Syrups Tax,Dead,S2678,3
1370,2009,1,NY,New York,Nutrition,Fruits and Vegetables,DNPAO,Restaurant/Retail,Tax Exemption for Buildings on Agricultural Land,Dead,S669,3
1371,2011,1,HI,Hawaii,Obesity,Food Restrictions,DNPAO,Community,Home Organic Produce Cooperatives,Dead,HCR145,3
1372,2010,1,HI,Hawaii,Physical Activity,Bicycling,DNPAO,Community,Tour De Hawaii Bike Race,Dead,SCR121,3
1373,2010,1,FL,Florida,Nutrition,Food Security,DNPAO,Community,Prevention of Obesity,Dead,S2212,3
1374,2009,1,IL,Illinois,Nutrition,Access to Healthy Foods,DNPAO,Community,Arthritis Prevention and Control,Dead,S1494,3
1375,2011,1,WA,Washington,Obesity,Sugar Sweetened Beverages,DNPAO,Work Place,An Act Relating to the Establishment of Food Purchasing Policies<br>,Dead,H1801,3
1376,2010,1,NM,New Mexico,Nutrition,Farm Direct Foods,DNPAO,School/After School,New Mexico Grown Food for School Lunches,Dead,S199,3
1377,2009,1,ID,Idaho,Nutrition,Nutrition Standards,DNPAO,Medical and/or Hospital,Detoxification/Mental Health Diversion Units,Enacted,R8285,1
1378,2009,1,NY,New York,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,High School Athletic Competition Eligibility Exception,Dead,S6054,3
1379,2011,1,PA,Pennsylvania,Nutrition,Incentives,DNPAO,Medical and/or Hospital,Reduced Insurance Premiums,Dead,HR268,3
1380,2011,1,WA,Washington,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Bicyclist and Motorist Mutual Responsibilities,Dead,S5193,3
1381,2005,1,AR,Arkansas,Nutrition,Liability and Indemnity,DNPAO,Community,Big Flat Walking Trail,Enacted,H2327,1
1382,2009,1,NM,New Mexico,Nutrition,Incentives,DNPAO,Community,Soft Drink Receipt Deductions,Dead,S69,3
1383,2010,1,DC,District of Columbia,Nutrition,Agriculture and Farming,DNPAO,School/After School,Healthy Schools,Enacted,B564,1
1384,2003,1,TX,Texas,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Public School Children,Enacted,SB474,1
1385,2008,1,OR,Oregon,Nutrition,Appropriations,DNPAO,School/After School,State Farm and Garden Programs in Schools,Enacted,H3601a,1
1386,2009,1,NJ,New Jersey,Obesity,Menu Labeling,DNPAO,Community,Council on Affordable Housing,Enacted,R18954,1
1387,2010,1,DC,District of Columbia,Obesity,Appropriations,DNPAO,Community,Streetcar Project Comprehensive Plan,Enacted,R1164,1
1388,2011,1,NM,New Mexico,Nutrition,Incentives,DNPAO,Work Place,Employee Wellness Incentive Programs,Enacted,HM78,1
1389,2010,1,MA,Massachusetts,Physical Activity,Physical Education Requirements,DNPAO,School/After School,School Nutrition,Dead,S2322,3
1390,2011,1,NM,New Mexico,Nutrition,Trans Fats,DNPAO,School/After School,Public School Construction and Renovation Projects,Dead,S2,3
1391,2009,1,MD,Maryland,Obesity,Appropriations,DNPAO,Community,Blue Ribbon Commission,Dead,S705,3
1392,2010,1,MO,Missouri,Obesity,Appropriations,DNPAO,Community,Local Foods Initiative,Dead,S926,3
1393,2009,1,MI,Michigan,Physical Activity,Pedestrians/Walking,DNPAO,Community,Recreational Authorities Act,Dead,H4700,3
1394,2011,1,MS,Mississippi,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Healthy Living Instruction,Dead,H614,3
1395,2010,1,VT,Vermont,Obesity,Menu Labeling,DNPAO,Community,Environmental Permit Programs,Dead,S214,3
1396,2010,1,MS,Mississippi,Physical Activity,Access to Recreational Opportunities,DNPAO,Community,Major Economic Impact Act,Enacted,S3189,1
1397,2010,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Community,New York State Council on Food Policy,Dead,S6893,3
1398,2002,1,NY,New York,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Making Appropriations for the Support of  Government<br>,Enacted,A9760,1
1399,2011,1,IL,Illinois,Physical Activity,Physical Education Requirements,DNPAO,School/After School,School Physical Education,Dead,H1568,3
1400,2015,1,HI,Hawaii,Obesity,Initiatives and Programs,DNPAO,Community,Interagency Obesity Council,Introduced,HB1439,0
1401,2014,1,MA,Massachusetts,Physical Activity,Bicycling,DNPAO,Community,Sustainable Development Principles,Enacted,10305,1
1402,2007,1,NC,North Carolina,Nutrition,Medical Care,DNPAO,Community,Appropriations Act of 2007,Enacted,H2437,1
1403,2010,1,MS,Mississippi,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Certified Farmers' Markets,Enacted,R12239,1
1404,2009,1,TN,Tennessee,Nutrition,Appropriations,DNPAO,School/After School,Education,Dead,S421,3
1405,2011,1,MO,Missouri,Nutrition,School Nutrition,DNPAO,Restaurant/Retail,Missouri Sustainable Local Food Policy Council,Dead,H873,3
1406,2011,1,ME,Maine,Nutrition,Nutrition Standards,DNPAO,School/After School,Food and Beverage Standards,Dead,LR244,3
1407,2011,1,OK,Oklahoma,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Bicycles,Dead,S951,3
1408,2011,1,MN,Minnesota,Nutrition,Farmers Markets,DNPAO,Restaurant/Retail,Agriculture,Dead,H1511,3
1409,2011,1,MA,Massachusetts,Physical Activity,Initiatives and Programs,DNPAO,School/After School,An Act Making Appropriations<br>,Dead,H4100,3
1410,2009,1,ME,Maine,Nutrition,Nutrition Standards,DNPAO,Early Care and Education,Certification of Family Child Care Providers,Enacted,R9148,1
1411,2012,2,AR,Arkansas,Nutrition,Nutrition Standards,DNPAO,School/After School,Arkansas Department of Education Rules Governing Nutrition and Physical Activity Standards and Body Mass Index for Age Assessment Protocols in Arkansas Public Schools,Enacted,6139,1
1412,2011,1,OR,Oregon,Nutrition,Farmers Markets,DNPAO,Restaurant/Retail,Establishment of Nutritional Requirement for Food Items,Dead,H3224,3
1413,2011,1,OK,Oklahoma,Nutrition,Farm Direct Foods,DNPAO,School/After School,School Nutrition,Dead,S632,3
1414,2010,1,HI,Hawaii,Physical Activity,School Siting,DNPAO,School/After School,Housing,Dead,S2576,3
1415,2009,1,OH,Ohio,Nutrition,Appropriations,DNPAO,Community,Livestock Care Standards Board,Dead,H341,3
1416,2011,1,OR,Oregon,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,Establishment of Nutritional Requirement for Food Items,Dead,H3224,3
1417,2011,1,TN,Tennessee,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Education,Dead,S1833,3
1418,2011,1,TX,Texas,Obesity,Disparities/Equity,DNPAO,Restaurant/Retail,Sweetened Beverages Tax,Dead,H2209,3
1419,2016,2,MI,Michigan,Nutrition,Appropriations,DNPAO,Early Care and Education,EDUCATION—APPROPRIATIONS—SCHOOL BUDGETS,Enacted,SB801,1
1420,2011,1,MD,Maryland,Obesity,Body Mass Index (BMI),DNPAO,Community,Transit Development Fund,Dead,H1349,3
1421,2009,1,MA,Massachusetts,Nutrition,Farm Direct Foods,DNPAO,School/After School,Healthy Alternatives in Public School Food Program,Dead,S861,3
1422,2011,1,IL,Illinois,Obesity,Appropriations,DNPAO,Community,Department of Human Services,Dead,S2450,3
1423,2009,1,MA,Massachusetts,Nutrition,Medical Care,DNPAO,School/After School,Transportation System Modernization,Dead,H4047,3
1424,2015,3,HI,Hawaii,Nutrition,Farm Direct Foods,DNPAO,School/After School,Relating to a Farm to School Program,Enacted,SB376,1
1425,2009,1,MD,Maryland,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Student Wellness,Enacted,H1264,1
1426,2010,1,OH,Ohio,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,School Nutrition and Health,Enacted,S210,1
1427,2009,1,PA,Pennsylvania,Obesity,Appropriations,DNPAO,Community,Pennsylvania Municipalities Planning Code,Dead,S1139,3
1428,2011,1,CT,Connecticut,Nutrition,Medical Care,DNPAO,Community,Brownfield Remediation and Development,Enacted,H6526,1
1429,2010,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Blighted Properties and Areas,Dead,S6791,3
1430,2010,1,CA,California,Physical Activity,Disparities/Equity,DNPAO,Medical and/or Hospital,Health and Human Services: Federal Grant Opportunities,Dead,A70,3
1431,2010,1,NC,North Carolina,Obesity,Appropriations,DNPAO,Work Place,State Health Plan,Enacted,S287,1
1432,2010,1,MS,Mississippi,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Sales Tax on Food,Dead,H59,3
1433,2012,1,HI,Hawaii,Physical Activity,Public Transportation,DNPAO,Community,An Act Relating to Transit<br>,Dead,S2959,3
1434,2009,1,MA,Massachusetts,Obesity,Food Restrictions,DNPAO,School/After School,Student Health and Education,Dead,H2063,3
1435,2011,1,TX,Texas,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,Sweetened Beverages Tax,Dead,H2213,3
1436,2001,1,NY,New York,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Pedestrian Crosswalks,Enacted,S6814,1
1437,2010,1,FL,Florida,Nutrition,Nutrition Standards,DNPAO,School/After School,School Wellness and Physical Education Policies,Dead,S1294,3
1438,2011,1,HI,Hawaii,Obesity,Food Restrictions,DNPAO,School/After School,School Gardens,Dead,HCR260,3
1439,2009,1,MD,Maryland,Nutrition,Medical Care,DNPAO,Community,Vehicle Laws,Dead,S428,3
1440,2011,1,IL,Illinois,Obesity,Disparities/Equity,DNPAO,Community,Public Aid Code,Dead,H3421,3
1441,2011,1,MN,Minnesota,Nutrition,Liability and Indemnity,DNPAO,School/After School,Transportation,Dead,S1439,3
1442,2012,1,CT,Connecticut,Nutrition,Initiatives and Programs,DNPAO,School/After School,An Act Implementing Provisions of the State Budget<br>,Enacted,H6001B,1
1443,2010,1,MI,Michigan,Nutrition,Appropriations,DNPAO,Medical and/or Hospital,Guaranteed Issue Health Plans,Dead,S1245,3
1444,2009,1,IL,Illinois,Nutrition,Appropriations,DNPAO,Community,General Revenue Fund,Dead,S2284,3
1445,2011,1,CA,California,Nutrition,Vending,DNPAO,Restaurant/Retail,Public Contracts: Healthy and Sustainable Food,Dead,A727,3
1446,2007,1,CA,California,Nutrition,Appropriations,DNPAO,School/After School,Public School Health Center Support Program,Enacted,S564,1
1447,2010,1,HI,Hawaii,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Department of Education,Dead,HCR290,3
1448,2009,1,CA,California,Nutrition,Liability and Indemnity,DNPAO,Community,Budget Act of 2009,Dead,A105,3
1449,2011,1,NY,New York,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Foods Containing Artificial Trans Fat,Dead,A219,3
1450,2011,1,RI,Rhode Island,Nutrition,Incentives,DNPAO,Restaurant/Retail,Taxation,Dead,H5432,3
1451,2012,1,WA,Washington,Nutrition,Agriculture and Farming,DNPAO,School/After School,An Act Relating to Bid Requirements for Schools<br>,Dead,S6183,3
1452,2010,1,WA,Washington,Obesity,Sugar Sweetened Beverages,DNPAO,Community,Tax Increases,Enacted,BI10,1
1453,2009,1,MN,Minnesota,Nutrition,Appropriations,DNPAO,Community,Human Services,Dead,H2198,3
1454,2010,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Commissioner of Economic Development,Dead,A9545,3
1455,2009,1,CA,California,Obesity,Body Mass Index (BMI),DNPAO,Community,Transit Village Developments: Infrastructure Financing,Vetoed,A338,2
1456,2011,1,MO,Missouri,Nutrition,Food Security,DNPAO,Community,"Expenses, Grants, Refunds, and Distributions",Enacted,H11,1
1457,2011,1,MO,Missouri,Nutrition,Vending,DNPAO,Community,Farm to Table Advisory Board,Dead,H830,3
1458,2011,1,TX,Texas,Obesity,Appropriations,DNPAO,Community,Gulfton Area Municipal Management District,Enacted,H3828,1
1459,2015,1,IL,Illinois,Nutrition,Farm Direct Foods,DNPAO,Community,Directories for local farm products,Introduced,HB3769,0
1460,2009,1,TX,Texas,Nutrition,Appropriations,DNPAO,School/After School,School Summer Nutrition Programs,Dead,S867,3
1461,2006,1,CO,Colorado,Nutrition,Appropriations,DNPAO,School/After School,Fruits And Vegetables In Schools,Enacted,S127,1
1462,2009,1,MA,Massachusetts,Nutrition,Access to Healthy Foods,DNPAO,Medical and/or Hospital,Nutrition Standards for State Agencies,Enacted,EO509,1
1463,2009,1,MA,Massachusetts,Nutrition,Task Forces/Councils,DNPAO,Early Care and Education,Food Policy Council,Dead,H4255,3
1464,2015,1,MD,Maryland,Nutrition,Task Forces/Councils,DNPAO,School/After School,Sugar-Free Schools Act,Introduced,HB894,0
1465,2009,1,FL,Florida,Nutrition,Food Assistance Programs,DNPAO,Community,Sales and Use Tax,Dead,S216,3
1466,2003,1,CA,California,Nutrition,Food Assistance Programs,DNPAO,Community,Child and Parental Nutrition,Enacted,SB875,1
1467,2005,1,WA,Washington,Physical Activity,Bicycling,DNPAO,Community,Citizen Physical Health Land Use and Recreation,Enacted,S5186,1
1468,2003,1,OR,Oregon,Nutrition,Food Security,DNPAO,Community,An Act Making Appropriations<br>,Enacted,S500,1
1469,2011,1,TN,Tennessee,Physical Activity,Safe Routes to Schools,DNPAO,Community,An Act Relating to the Construction of Facilities and Trails <br>,Enacted,H2204,1
1470,2011,1,VT,Vermont,Nutrition,Incentives,DNPAO,Community,Blue Ribbon Tax Structure Commission,Dead,H122,3
1471,2011,1,OK,Oklahoma,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Healthy Corner Store,Enacted,R16610,1
1472,2011,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,School/After School,An Act to Amend the New York State Urban Development Corporation Act,Enacted,S614,1
1473,2010,1,NY,New York,Physical Activity,Task Forces/Councils,DNPAO,School/After School,Statewide School Nutrition Standards,Dead,A11027,3
1474,2009,1,MA,Massachusetts,Nutrition,Appropriations,DNPAO,Community,Farmers Markets,Dead,H4000,3
1475,2016,2,SC,South Carolina,Nutrition,Access to Healthy Foods,DNPAO,School/After School,"""An act to amend relating to the establishment of elementary school food service meals and competitive food requirements, so as to allow meals provided K-12 meet nutritional requirements.""",Enacted,SB484,1
1476,2011,1,HI,Hawaii,Obesity,Health Insurance Coverage,DNPAO,Medical and/or Hospital,Tax Credits,Dead,H409,3
1477,2010,1,VA,Virginia,Nutrition,Appropriations,DNPAO,School/After School,Competitive Foods in Public Schools,Enacted,S414,1
1478,2011,1,MA,Massachusetts,Obesity,Task Forces/Councils,DNPAO,School/After School,Public School Commercialism Commission,Dead,H2719,3
1479,2009,1,MN,Minnesota,Obesity,Menu Labeling,DNPAO,Community,Human Services,Dead,S839,3
1480,2011,1,ME,Maine,Obesity,Appropriations,DNPAO,Restaurant/Retail,Farmers Markets and Electronic Fund Transfer,Dead,LR1724,3
1481,2009,1,MA,Massachusetts,Obesity,Front of Package Labeling,DNPAO,School/After School,State Funded School Buildings,Dead,SD379,3
1482,2009,1,WI,Wisconsin,Nutrition,School Nutrition,DNPAO,School/After School,Physical Fitness Assessments,Dead,A620,3
1483,2011,1,HI,Hawaii,Obesity,Appropriations,DNPAO,Restaurant/Retail,Charter School Agricultural Business,Dead,SCR34,3
1484,2011,1,MS,Mississippi,Physical Activity,Access to Recreational Opportunities,DNPAO,School/After School,Sweetened Beverages and Syrups Tax,Dead,S2678,3
1485,2010,1,NC,North Carolina,Nutrition,Appropriations,DNPAO,Work Place,Lactation Support,Enacted,R5926,1
1486,2007,1,CA,California,Nutrition,Farm Direct Foods,DNPAO,Community,State Property: Vending Machines,Enacted,S441,1
1487,2011,1,OK,Oklahoma,Obesity,Appropriations,DNPAO,School/After School,School Nutrition,Dead,S632,3
1488,2011,1,MA,Massachusetts,Obesity,Body Mass Index (BMI),DNPAO,Community,Bay Transit Authority to Acquire Land,Dead,H2653,3
1489,2010,1,IL,Illinois,Nutrition,Incentives,DNPAO,Work Place,Income Tax Act,Dead,H5238,3
1490,2015,1,NY,New York,Obesity,Body Mass Index (BMI),DNPAO,Restaurant/Retail,Trans fat reduction; Menu Labeling; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,Introduced,SB1668,0
1491,2009,1,MA,Massachusetts,Physical Activity,Safe Routes to Schools,DNPAO,Community,Transportation System Modernization,Enacted,S2087,1
1492,2005,1,MA,Massachusetts,Obesity,Appropriations,DNPAO,Community,Environmental Trust,Enacted,H1283,1
1493,2010,1,MD,Maryland,Obesity,Food Restrictions,DNPAO,Community,Fees for Community Health Programs,Enacted,R10300,1
1494,2011,1,NY,New York,Nutrition,Vending,DNPAO,School/After School,Prohibiting the Sale of Certain Foods and Beverages,Dead,A6229,3
1495,2011,1,ME,Maine,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Farm Stand Products and Disclosure,Dead,S230,3
1496,2009,1,NH,New Hampshire,Physical Activity,Bicycling,DNPAO,Community,Walkable and Bikable Communities,Dead,LSR2321,3
1497,2011,1,MS,Mississippi,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Mississippi Dairy Industry Stabilization Act,Dead,H586,3
1498,2009,1,IL,Illinois,Nutrition,Farmers Markets,DNPAO,Community,Makes Appropriations,Dead,H4348,3
1499,2011,1,TN,Tennessee,Physical Activity,Bicycling,DNPAO,School/After School,An Act Relating to the Construction of Facilities and Trails <br>,Enacted,H2204,1
1500,2013,1,WI,Wisconsin,Physical Activity,Appropriations,DNPAO,Work Place,An Act Relating to an Income and Franchise Tax Credit for Workplace Wellness Programs,Introduced,SB73,0
1501,2011,1,TX,Texas,Physical Activity,Incentives,DNPAO,Community,Sweetened Beverages Tax,Dead,H2214,3
1502,2009,1,CT,Connecticut,Obesity,Menu Labeling,DNPAO,Community,Smart Growth,Enacted,H6467,1
1503,2009,1,IA,Iowa,Nutrition,Agriculture and Farming,DNPAO,Community,Local Food and Farm Task Force,Dead,S332,3
1504,2013,1,MN,Minnesota,Physical Activity,Appropriations,DNPAO,School/After School,Appropriating Monies for Transportation,Introduced,SB1173,0
1505,2011,1,MO,Missouri,Obesity,Appropriations,DNPAO,Restaurant/Retail,Farm to Table Advisory Board,Dead,S162,3
1506,2007,1,NC,North Carolina,Obesity,Food Restrictions,DNPAO,School/After School,2007 Appropriation Act,Enacted,H1473,1
1507,2005,1,CA,California,Obesity,Food Restrictions,DNPAO,School/After School,Pupil Nutrition: Beverages,Enacted,S965,1
1508,2009,1,WA,Washington,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Motorcycles and Bicycles,Dead,H1403,3
1509,2012,1,WV,West Virginia,Nutrition,Initiatives and Programs,DNPAO,Early Care and Education,Family Child Care Facility Licensing Requirements<br>,Enacted,5840,1
1510,2009,1,SC,South Carolina,Nutrition,Trans Fats,DNPAO,School/After School,Nutrition Standards for Elementary Schools,Enacted,R3023,1
1511,2008,1,NJ,New Jersey,Physical Activity,Built Environment and Street-Scale Design,DNPAO,School/After School,State Budget FY 2009 and 2010,Enacted,A4100,1
1512,2011,1,NY,New York,Obesity,Food Restrictions,DNPAO,School/After School,Vending Machines on School Grounds,Dead,S3468,3
1513,2009,1,NC,North Carolina,Nutrition,Liability and Indemnity,DNPAO,Community,Technical Assistance Healthy Lifestyle,Dead,H1467,3
1514,2011,1,NC,North Carolina,Nutrition,Task Forces/Councils,DNPAO,School/After School,Child Nutrition Program Changes,Dead,S389,3
1515,2012,1,AL,Alabama,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Establishes an Alabama Purchase of Local Agricultural Products Incentive Program Fund<br>,Dead,H37,3
1516,2010,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Downstate Revitalization Fund Program,Enacted,R21700,1
1517,2011,1,HI,Hawaii,Obesity,Appropriations,DNPAO,Community,Affordable Rental Housing,Enacted,S903,1
1518,2011,1,CA,California,Nutrition,School Nutrition,DNPAO,Community,Low-Income Housing Tax Credit Programs,Enacted,R20703,1
1519,2010,1,NY,New York,Nutrition,Appropriations,DNPAO,Community,Prohibited Food Stamp Purchases,Dead,A10965,3
1520,2015,1,IN,Indiana,Nutrition,Nutrition Standards,DNPAO,School/After School,Nutrition Requirements in Schools,Introduced,SB500,0
1521,2011,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Medical and/or Hospital,On-Call Physician Tax Credit,Dead,S1137,3
1522,2004,1,VA,Virginia,Nutrition,Medical Care,DNPAO,Community,Bicycle Operation,Enacted,SB252,1
1523,2009,1,NY,New York,Nutrition,Farm Direct Foods,DNPAO,Community,New York State Farm Grown Products,Dead,S6203,3
1524,2007,1,RI,Rhode Island,Nutrition,Access to Healthy Foods,DNPAO,Community,Educational Pilot Program,Enacted,H5900,1
1525,2011,1,TN,Tennessee,Nutrition,Appropriations,DNPAO,Community,Taxes,Dead,H897,3
1526,2011,1,AL,Alabama,Nutrition,Food Policy Councils,DNPAO,Restaurant/Retail,Civil Actions Against Food Companies,Dead,H193,3
1527,2008,1,VA,Virginia,Nutrition,Appropriations,DNPAO,School/After School,Board of Education Database on Nutrition and Fitness,Enacted,H246,1
1528,2009,1,MA,Massachusetts,Obesity,Appropriations,DNPAO,School/After School,Governor Fiscal Year 2010 Budget,Dead,S2060,3
1529,2009,1,IL,Illinois,Nutrition,Appropriations,DNPAO,Community,Nutrition Outreach and Public Education Act,Dead,H1809,3
1530,2013,1,MN,Minnesota,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Appropriating Monies for Transportation,Introduced,SB1173,0
1531,2016,1,AL,Alabama,Nutrition,Breastfeeding,DNPAO,Community,"Breast feeding, recognizing the importance of removing barriers to breast feeding",Enacted,SJR30,1
1532,2013,1,SC,South Carolina,Nutrition,School Nutrition,DNPAO,School/After School,Relating to the Duties of the Department of Agriculture,Introduced,SB191,0
1533,2011,1,NE,Nebraska,Nutrition,Food Assistance Programs,DNPAO,Restaurant/Retail,Supplemental Nutrition Assistance Program,Dead,L267,3
1534,2010,1,DC,District of Columbia,Obesity,Appropriations,DNPAO,Community,View 14 Economic Development,Enacted,R145,1
1535,2010,1,VA,Virginia,Nutrition,Incentives,DNPAO,Community,Food Standards for Agency Meals,Dead,H423,3
1536,2010,1,MA,Massachusetts,Nutrition,Liability and Indemnity,DNPAO,Community,Fiscal Year 2011 Budget,Enacted,H4800,1
1537,2010,1,CA,California,Obesity,Appropriations,DNPAO,Community,Health and Human Services: Federal Grant Opportunities,Dead,A70,3
1538,2011,1,MN,Minnesota,Obesity,Body Mass Index (BMI),DNPAO,Community,Transportation,Dead,S1077,3
1539,2005,1,ID,Idaho,Nutrition,Medical Care,DNPAO,Community,Bicycle Riders,Enacted,S1011,1
1540,2009,1,TN,Tennessee,Obesity,Appropriations,DNPAO,Community,Traffic Safety,Dead,S1515,3
1541,2009,1,NY,New York,Physical Activity,Task Forces/Councils,DNPAO,School/After School,Office Of Nutrition And Fitness,Dead,A3095,3
1542,2010,1,HI,Hawaii,Nutrition,School Nutrition,DNPAO,School/After School,Increased Federal Reimbursement Rates,Dead,SR68,3
1543,2010,1,HI,Hawaii,Obesity,Menu Labeling,DNPAO,Community,Department of Accounting and General Services,Dead,HCR284,3
1544,2009,1,OR,Oregon,Nutrition,Farmers Markets,DNPAO,Community,Nutrition Improvement Zones,Dead,S908,3
1545,2003,1,TN,Tennessee,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Education,Enacted,HB2783,1
1546,2011,1,TX,Texas,Nutrition,Food Assistance Programs,DNPAO,Work Place,Interagency Obesity Council,Dead,S1454,3
1547,2011,1,WV,West Virginia,Nutrition,Task Forces/Councils,DNPAO,Community,Health Insurance Providers and Wellness Programs,Dead,S309,3
1548,2007,1,NC,North Carolina,Nutrition,Liability and Indemnity,DNPAO,Community,Appropriations Act of 2007,Enacted,H2437,1
1549,2009,1,TX,Texas,Obesity,Health Insurance Coverage,DNPAO,School/After School,School District Resources,Dead,H350,3
1550,2009,1,MA,Massachusetts,Nutrition,Appropriations,DNPAO,Community,Food Policy Council,Dead,H4255,3
1551,2011,1,AR,Arkansas,Nutrition,Appropriations,DNPAO,Early Care and Education,Appropriation to the Department of Human Services,Dead,H1471,3
1552,2010,1,MN,Minnesota,Nutrition,Liability and Indemnity,DNPAO,Community,Capital Improvements,Dead,H2626,3
1553,2008,1,TX,Texas,Nutrition,Liability and Indemnity,DNPAO,Community,Community Development,Enacted,R14997,1
1554,2010,1,LA,Louisiana,Nutrition,Task Forces/Councils,DNPAO,Community,Health and Accident Insurance,Enacted,H821,1
1555,2011,1,ME,Maine,Obesity,Appropriations,DNPAO,Restaurant/Retail,Electronic Benefits Transfers and Farmers Markets,Dead,S227,3
1556,2011,1,HI,Hawaii,Nutrition,Vending,DNPAO,School/After School,Aspartame,Dead,H999,3
1557,2011,1,AR,Arkansas,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Appropriation to the Department of Human Services,Dead,H1471,3
1558,2013,2,NV,Nevada,Nutrition,Breastfeeding,DNPAO,Work Place,An Act Relating to Public Health,Enacted,AB158,1
1559,2011,1,ME,Maine,Nutrition,Access to Healthy Foods,DNPAO,Community,Farmers Markets and Product Origin Identification,Dead,LR1065,3
1560,2011,1,CA,California,Nutrition,Access to Healthy Foods,DNPAO,Community,CalFresh,Dead,S471,3
1561,2010,1,HI,Hawaii,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Trans Fats,Dead,S2140,3
1562,2009,1,NC,North Carolina,Nutrition,Nutrition Standards,DNPAO,Early Care and Education,Healthy Eating and Physical Activity Child Care,Dead,H1472,3
1563,2011,1,DC,District of Columbia,Physical Activity,Pedestrians/Walking,DNPAO,Restaurant/Retail,Grocery Store Terms and Conditions,Dead,B22,3
1564,2009,1,MA,Massachusetts,Nutrition,Agriculture and Farming,DNPAO,School/After School,Promoting Better Health in Public Schools,Dead,H2107,3
1565,2009,1,NJ,New Jersey,Obesity,Appropriations,DNPAO,Community,Urban Transit Hub Tax Credit Program,Enacted,R19075,1
1566,2010,1,VT,Vermont,Obesity,Food Restrictions,DNPAO,Community,Motor Vehicles,Dead,H520,3
1567,2011,1,SC,South Carolina,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Mixed-Use Town Centers,Dead,H3604,3
1568,2011,1,RI,Rhode Island,Obesity,Appropriations,DNPAO,Community,Motor and Other Vehicles,Dead,H5907,3
1569,2011,1,VT,Vermont,Obesity,Health Insurance Coverage,DNPAO,Work Place,Unified Health Systems,Enacted,H202,1
1570,2011,1,HI,Hawaii,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Repair and Repaving Of Side Streets,Dead,HR50,3
1571,2011,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Processing of Homemade Baked Goods,Dead,S2370,3
1572,2011,1,MN,Minnesota,Physical Activity,Safe Routes to Schools,DNPAO,School/After School,Capital Improvements,Dead,S656,3
1573,2011,1,MS,Mississippi,Nutrition,Disparities/Equity,DNPAO,Community,Health Foods,Dead,S2507,3
