,budget_fiscal_year,department_name,fund_name,account_name,total_expenditures,total_budget,account_group_name,department
10564,2019,WATER AND POWER,ARRA-EECBG FUND - DWP,ENHANCED UTILITY INCENTIVES,,0,,98
10565,2019,WATER AND POWER,WS RB 2011 SERIES A BOND SERVC,INTEREST EXPENSE,15317975,0,,98
10566,2019,WATER AND POWER,PWR SYST RB 2013 C BD SER FUND,INTEREST EXPENSE,1229241.16,0,,98
10567,2019,WATER AND POWER,D17-02081 HEADWORKS WEST RESERVOIR DEBT SERVICE,INTEREST EXPENSE,276081.44,0,,98
10568,2019,WATER AND POWER,PWR SYST RB 2005 A BD SER FUND,INTEREST EXPENSE,,0,,98
10569,2019,WATER AND POWER,WS RB 2007 SERIES A BOND SERVC,INTEREST EXPENSE,,0,,98
10570,2019,WATER AND POWER,PWR SYST RB 2013 B BD SER FUND,RETIREMENT OF PRINCIPAL,7700000,0,,98
10571,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2016 SERIES A, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,11785000,0,,98
10572,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES C, CONSTRUCTION FUND",RETIREMENT OF PRINCIPAL,,0,,98
10573,2019,WATER AND POWER,PWR SYST RB 2005 A BD SER FUND,RETIREMENT OF PRINCIPAL,,0,,98
10574,2019,WATER AND POWER,PWR SYST RB 2001 SERI A BD SER,RETIREMENT OF PRINCIPAL,,0,,98
10575,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2015 SERIES B, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,,0,,98
10576,2019,WATER AND POWER,WS RB 2012 SERIES C BOND SERVC,INTEREST EXPENSE,4635750,0,,98
10577,2019,WATER AND POWER,WS RB 2012 SERIES A BOND SERVC,INTEREST EXPENSE,13838250,0,,98
10578,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2016 SERIES A, BOND SERVICE FUND",INTEREST EXPENSE,13260925,0,,98
10579,2019,WATER AND POWER,ARRA-EECBG FUND - DWP,STUDY OF ON-BILL FINANCING,,0,,98
10580,2019,WATER AND POWER,PWR SYST RB 2013 C BD SER FUND,RETIREMENT OF PRINCIPAL,,0,,98
10581,2019,WATER AND POWER,WS RB 2013 SERIES B BOND SERVICE FUND,INTEREST EXPENSE,17982375,0,,98
10582,2019,WATER AND POWER,WS RB 2010 SERIES A BOND SERVC,INTEREST EXPENSE,32933641.3,0,,98
10583,2019,WATER AND POWER,WS RB 2014 SERIES A BOND SERVICE FUND,INTEREST EXPENSE,13518050,0,,98
10584,2019,WATER AND POWER,PWR SYST RB 2012 A BD SER FUND,RETIREMENT OF PRINCIPAL,,0,,98
10585,2019,WATER AND POWER,PWR SYST RB 2010 B BD SER FUND,INTEREST EXPENSE,1175718.76,0,,98
10586,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2018 SERIES B, CONSTRUCTION FUND",OTHER EXPENDITURES,248821000,0,,98
10587,2019,WATER AND POWER,SRF14-310-550 LA RESERVOIR UV LIGHT TREATMENT PLANT DEBT SVC,INTEREST EXPENSE,793973.32,0,,98
10588,2019,WATER AND POWER,WS RB 2013 SERIES A BOND SERVC,INTEREST EXPENSE,4219331.26,0,,98
10589,2019,WATER AND POWER,WS RB 2012 SERIES B BOND SERVC,RETIREMENT OF PRINCIPAL,,0,,98
10590,2019,WATER AND POWER,PWR SYST RB 2003 B BD SER FUND,RETIREMENT OF PRINCIPAL,,0,,98
10591,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2014 SERIES C, BOND SERVICE FUND",INTEREST EXPENSE,9590500,0,,98
10592,2019,WATER AND POWER,WS RB 2003 SERIES B BOND SERVC,RETIREMENT OF PRINCIPAL,,0,,98
10593,2019,WATER AND POWER,PWR SYST RB 2013 A BD SER FUND,INTEREST EXPENSE,21418412.5,0,,98
10594,2019,WATER AND POWER,D15-02014 EAGLE ROCK RESERVOIR COVER REPLACEMENT DEBT SVC FD,RETIREMENT OF PRINCIPAL,177392.09,0,,98
10595,2019,WATER AND POWER,ELEC PL REF REVBD ISS94 RES FD,INTEREST EXPENSE,41087.5,0,,98
10596,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2017 SERIES A, CONSTRUCTION FUND",OTHER EXPENDITURES,,0,,98
10597,2019,WATER AND POWER,PWR SYST RB 2011 A BD SER FUND,INTEREST EXPENSE,19756100,0,,98
10598,2019,WATER AND POWER,WS RB 2001 SERIES C BOND SERVC,RETIREMENT OF PRINCIPAL,,0,,98
10599,2019,WATER AND POWER,WS RB 2005 SERIES A BOND SERVC,INTEREST EXPENSE,,0,,98
10600,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2018 SERIES A, CONSTRUCTION FUND",OTHER EXPENDITURES,103608936.23,0,,98
10601,2019,WATER AND POWER,PWR SYST RB 2013 B BD SER FUND,INTEREST EXPENSE,21065075,0,,98
10602,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES A, CONSTRUCTION FUND",OTHER EXPENDITURES,,0,,98
10603,2019,WATER AND POWER,PWR SYST RB 2001 SERI C BD SER,INTEREST EXPENSE,2180828.45,0,,98
10604,2019,WATER AND POWER,WS RB 2009 SERIES A BOND SERVC,INTEREST EXPENSE,6594121.82,0,,98
10605,2019,WATER AND POWER,WW REF RB ISS OF 98 BOND SERVI,RETIREMENT OF PRINCIPAL,,0,,98
10606,2019,WATER AND POWER,WS RB 2009 SERIES B BOND SERVC,RETIREMENT OF PRINCIPAL,26825000,0,,98
10607,2019,WATER AND POWER,WW REF RB ISS OF 98 BOND SERVI,INTEREST EXPENSE,2806700,0,,98
10608,2019,WATER AND POWER,WATER REVENUE,INTERFUND OPERATING TRANSFERS,302766286.79,0,,98
10609,2019,WATER AND POWER,WS RB 2012 SERIES C BOND SERVC,RETIREMENT OF PRINCIPAL,,0,,98
10610,2019,WATER AND POWER,PWR SYST RB 2001 SERI A BD SER,INTEREST EXPENSE,,0,,98
10611,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2017 SERIES A, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,1215000,0,,98
10612,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES A, BOND SERVICE FUND",INTEREST EXPENSE,25000000,0,,98
10613,2019,WATER AND POWER,WATER/POWER EMP DEATH BENEFITS,OTHER EXPENDITURES,10473821.59,0,,98
10614,2019,WATER AND POWER,ARRA-EECBG FUND - DWP,ENERGY EFFICIENCY RETRO NONPRO,,0,,98
10615,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2018 SERIES A, BOND SERVICE FUND",INTEREST EXPENSE,12380830,0,,98
10616,2019,WATER AND POWER,WS RB 2013 SERIES A BOND SERVC,RETIREMENT OF PRINCIPAL,8070000,0,,98
10617,2019,WATER AND POWER,PWR SYST RB 2010 A BD SER FUND,INTEREST EXPENSE,36560560,0,,98
10618,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2019 SERIES A, CONSTRUCTION FUND",OTHER EXPENDITURES,408834000,0,,98
10619,2019,WATER AND POWER,WS RB 2011 SERIES A BOND SERVC,RETIREMENT OF PRINCIPAL,6560000,0,,98
10620,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2017 SERIES A, BOND SERVICE FUND",INTEREST EXPENSE,26154775,0,,98
10621,2019,WATER AND POWER,PWR SYST RB 2011 A BD SER FUND,RETIREMENT OF PRINCIPAL,83925000,0,,98
10622,2019,WATER AND POWER,DWP RETIREE HEALTH BENEFITS,OTHER EXPENDITURES,108453596.24,0,,98
10623,2019,WATER AND POWER,PWR SYST RB 2012 C BD SER FUND,INTEREST EXPENSE,,0,,98
10624,2019,WATER AND POWER,EP REV BD 2NDISS93 RESERV FUND,INTEREST EXPENSE,266943.75,0,,98
10625,2019,WATER AND POWER,PWR SYST RB 2012 A BD SER FUND,INTEREST EXPENSE,4740450,0,,98
10626,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2018 SERIES C, BOND SERVICE FUND",INTEREST EXPENSE,492958.33,0,,98
10627,2019,WATER AND POWER,PWR SYST RB 2009 A BD SER FUND,RETIREMENT OF PRINCIPAL,2810000,0,,98
10628,2019,WATER AND POWER,PWR SYST RB 2010 D BD SER FUND,INTEREST EXPENSE,50401548,0,,98
10629,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2016 SERIES A, CONSTRUCTION FUND",OTHER EXPENDITURES,,0,,98
10630,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2014 SERIES E, BOND SERVICE FUND",INTEREST EXPENSE,11450000,0,,98
10631,2019,WATER AND POWER,PWR SYST RB 2002 SERI A BD SER,INTEREST EXPENSE,4017614.14,0,,98
10632,2019,WATER AND POWER,"POWER SHORT TERM REVENUE NOTES, ISSUE OF 2015, CONSTRUCTION",OTHER EXPENDITURES,,0,,98
10633,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES B, BOND SERVICE FUND",INTEREST EXPENSE,17370500,0,,98
10634,2019,WATER AND POWER,WS RB 2003 SERIES B BOND SERVC,INTEREST EXPENSE,263400,0,,98
10635,2019,WATER AND POWER,PWR SYST RB 2010 B BD SER FUND,RETIREMENT OF PRINCIPAL,5665000,0,,98
10636,2019,WATER AND POWER,PWR SYST RB 2007 A BD SER FUND,RETIREMENT OF PRINCIPAL,,0,,98
10637,2019,WATER AND POWER,PWR SYST RB 2012B BD SER FUND,INTEREST EXPENSE,17500000,0,,98
10638,2019,WATER AND POWER,"ELEC PL REVBDS ISS94,RESERVE",INTEREST EXPENSE,196592.5,0,,98
10639,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2016 SERIES B, BOND SERVICE FUND",INTEREST EXPENSE,13286500,0,,98
10640,2019,WATER AND POWER,PWR SYST RB 2003 B BD SER FUND,INTEREST EXPENSE,,0,,98
10641,2019,WATER AND POWER,PWR SYST RB 2007 A BD SER FUND,INTEREST EXPENSE,,0,,98
10642,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES B, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,,0,,98
10643,2019,WATER AND POWER,WS RB 2012 SERIES B BOND SERVC,INTEREST EXPENSE,16100000,0,,98
10644,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2014 SERIES D, BOND SERVICE FUND",INTEREST EXPENSE,22362350,0,,98
10645,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2016 SERIES B, CONSTRUCTION FUND",OTHER EXPENDITURES,,0,,98
10646,2019,WATER AND POWER,WATER AND POWER ACTIVE EMPLOYEE HEALTHCARE BENEFITS FUND,OTHER EXPENDITURES,223514015.81,0,,98
10647,2019,WATER AND POWER,WS RB 2012 SERIES A BOND SERVC,RETIREMENT OF PRINCIPAL,,0,,98
10648,2019,WATER AND POWER,PWR SYST RB 2012B BD SER FUND,RETIREMENT OF PRINCIPAL,,0,,98
10649,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2018 SERIES C, CONSTRUCTION FUND",OTHER EXPENDITURES,68599655.97,0,,98
10650,2019,WATER AND POWER,PWR SYST RB 2001 SERI C BD SER,RETIREMENT OF PRINCIPAL,2094875,0,,98
10651,2019,WATER AND POWER,WS RB 2009 SERIES C BOND SERVC,INTEREST EXPENSE,20010017.92,0,,98
10652,2019,WATER AND POWER,D15-02014 EAGLE ROCK RESERVOIR COVER REPLACEMENT DEBT SVC FD,INTEREST EXPENSE,58655.95,0,,98
10653,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2014 SERIES B, BOND SERVICE FUND",INTEREST EXPENSE,16060531.26,0,,98
10654,2019,WATER AND POWER,PWR SYST RB 2013 A BD SER FUND,RETIREMENT OF PRINCIPAL,41730000,0,,98
10655,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES A, BOND SERVICE FUND",RETIREMENT OF PRINCIPAL,,0,,98
10656,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2017 SERIES C, CONSTRUCTION FUND",OTHER EXPENDITURES,,0,,98
10657,2019,WATER AND POWER,D17-02082 ELYSIAN RESERVOIR WATER QUALITY IMPRVMNT DEBT SVC,INTEREST EXPENSE,43303.23,0,,98
10658,2019,WATER AND POWER,PWR SYST RB 2009 A BD SER FUND,INTEREST EXPENSE,5150551.79,0,,98
10659,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2018 SERIES B, BOND SERVICE FUND",INTEREST EXPENSE,1974241.67,0,,98
10660,2019,WATER AND POWER,"ELEC PL REVBDS ISS94,RESERVE",RETIREMENT OF PRINCIPAL,230000,0,,98
10661,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2018 SERIES D, CONSTRUCTION FUND",OTHER EXPENDITURES,352258989.75,0,,98
10662,2019,WATER AND POWER,POWER REVENUE,INTERFUND OPERATING TRANSFERS,841938721.32,0,,98
10663,2019,WATER AND POWER,PWR SYST RB COMM PAPER BD SVC,INTEREST EXPENSE,3519272.63,0,,98
10664,2019,WATER AND POWER,ELEC PL REF REVBD ISS94 RES FD,RETIREMENT OF PRINCIPAL,1730000,0,,98
10665,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2016 SERIES B, BOND SERVICE FUND",INTEREST EXPENSE,11022600,0,,98
10666,2019,WATER AND POWER,WS RB 2013 SERIES B BOND SERVICE FUND,RETIREMENT OF PRINCIPAL,10625000,0,,98
10667,2019,WATER AND POWER,PWR SYST RB 2010 C BD SER FUND,INTEREST EXPENSE,7709989,0,,98
10668,2019,WATER AND POWER,PWR SYST RB 2014 A BD SER FUND,INTEREST EXPENSE,3553643.83,0,,98
10669,2019,WATER AND POWER,WATER REVENUE,OTHER EXPENDITURES,2623134194.67,0,,98
10670,2019,WATER AND POWER,WS RB 2001 SERIES B BOND SERVC,INTEREST EXPENSE,3890599.4,0,,98
10671,2019,WATER AND POWER,DWP FLEXIBLE SPEND ACCTS (FSA),OTHER EXPENDITURES,2602472.4,0,,98
10672,2019,WATER AND POWER,WATER/POWER EMPLOYEES DISABIL,OTHER EXPENDITURES,25974041.48,0,,98
10673,2019,WATER AND POWER,PWR SYST RB 2009 B BD SER FUND,INTEREST EXPENSE,11728690.28,0,,98
10674,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2018 SERIES A, BOND SERVICE FUND",INTEREST EXPENSE,9625000,0,,98
10675,2019,WATER AND POWER,"POWER SYSTEM REVENUE BONDS 2015 SERIES A, BOND SERVICE FUND",INTEREST EXPENSE,24063000,0,,98
10676,2019,WATER AND POWER,"WATER SYSTEM REVENUE BONDS 2016 SERIES A, BOND SERVICE FUND",INTEREST EXPENSE,27386650,0,,98
10677,2019,WATER AND POWER,ARRA-EECBG FUND - DWP,"COMMUNITY OUTREACH, PUB EDU GR",,0,,98
10678,2019,WATER AND POWER,EP REV BD 2NDISS93 RESERV FUND,RETIREMENT OF PRINCIPAL,345000,0,,98
10679,2019,WATER AND POWER,PWR SYST RB 2012 C BD SER FUND,RETIREMENT OF PRINCIPAL,,0,,98
10680,2019,WATER AND POWER,POWER REVENUE,OTHER EXPENDITURES,5774119683.19,0,,98
10681,2019,WATER AND POWER,PWR SYST RB 2008 A BD SER FUND,INTEREST EXPENSE,,0,,98
10682,2019,WATER AND POWER,PWR SYST RB 2001 SERI B BD SER,INTEREST EXPENSE,6931116.82,0,,98
10683,2019,ZOO,ZOO ENTERPRISE TRUST FUND,RESERVE FOR REVENUE FLUCTUATIONS,,0,SPECIAL,87
10684,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ENGINEERING SPECIAL SERVICE FD,460000,460000,,87
10685,2019,ZOO,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,236396.51,265060,EXPENSES,87
10686,2019,ZOO,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,416764.69,649758,EXPENSES,87
10687,2019,ZOO,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,16041915.91,16640728.56,SALARIES AND BENEFITS,87
10688,2019,ZOO,GENERAL FUND (GENERAL BUDGET),FIELD EQUIPMENT EXPENSE,16360.63,20000,EXPENSES,87
10689,2019,ZOO,ZOO ENTERPRISE TRUST FUND,OFFICE OF FINANCE,60833.76,60833.76,,87
10690,2019,ZOO,GENERAL FUND (GENERAL BUDGET),HIRING HALL SALARIES,164235.95,170000,SALARIES AND BENEFITS,87
10691,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ZOO REPAIRS AND IMPROVEMENT,,902302,SPECIAL,87
10692,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ITA,22169,22169,,87
10693,2019,ZOO,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,1950681.02,2204046.24,SALARIES AND BENEFITS,87
10694,2019,ZOO,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,3000,3000,EXPENSES,87
10695,2019,ZOO,ZOO ENTERPRISE TRUST FUND,LAPD,10000,10000,,87
10696,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ZOO PERIMETER ROAD REPAIRS,424794,445625,SPECIAL,87
10697,2019,ZOO,GENERAL FUND (GENERAL BUDGET),VETERINARY SUPPLIES & EXPENSE,243015.55,400000,EXPENSES,87
10698,2019,ZOO,GENERAL FUND (GENERAL BUDGET),UNIFORMS,6982.44,7001,EXPENSES,87
10699,2019,ZOO,ZOO ENTERPRISE TRUST FUND,LA ZOO VISION PLAN EIR,,0,,87
10700,2019,ZOO,GENERAL FUND (GENERAL BUDGET),BENEFITS HIRING HALL,100000,100000,SALARIES AND BENEFITS,87
10701,2019,ZOO,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,52565.68,73000,EXPENSES,87
10702,2019,ZOO,ZOO ENTERPRISE TRUST FUND,GLAZA MARKETING REFUND,1364057,1364057,SPECIAL,87
10703,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ZOO PROGRAMS & OPERATIONS,,0,,87
10704,2019,ZOO,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,202320.38,208164,SALARIES AND BENEFITS,87
10705,2019,ZOO,GENERAL FUND (GENERAL BUDGET),"MAINTENANCE MATERIALS, SUPPLIES & SERVICES",817593.53,854767,EXPENSES,87
10706,2019,ZOO,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,140995.03,148000,EXPENSES,87
10707,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ANIMAL PURCHASES & SALES,,0,,87
10708,2019,ZOO,ZOO ENTERPRISE TRUST FUND,CONTROLLER,16484.44,16484.44,,87
10709,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ZOO WASTEWATER FACILITY,220355,220355,SPECIAL,87
10710,2019,ZOO,ZOO ENTERPRISE TRUST FUND,ZOO,21339294.81,21448391.83,,87
10711,2019,ZOO,GENERAL FUND (GENERAL BUDGET),FEED AND GRAIN,972418.38,1018148,EXPENSES,87
10712,2018,AGING,OMBUDSMAN INITIATIVE PROGRAM F,SNF QUALITY AND ACCOUNTABILITY,149495,149495,,2
10713,2018,AGING,HEALTH INS COUNS ADV (HICAP),FINANCIAL ALIGNMENT PROGRAM,28719,164614,,2
10714,2018,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREV PROGR FOR SENIORS,2571,2571,,2
10715,2018,AGING,OMBUDSMAN INITIATIVE PROGRAM F,PUBLIC HEALTH LCPF,31473,31473,,2
10716,2018,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 9 MONTH,132406,153751,,2
10717,2018,AGING,GENERAL FUND (GENERAL BUDGET),TRAVEL,5347.79,8450,EXPENSES,2
10718,2018,AGING,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,15943.36,17200,SALARIES AND BENEFITS,2
10719,2018,AGING,AREA PLAN FOR THE AGING TIT 7,FAMILY CAREGIVER SUPPORT FOR SENIORS,20827,32049,,2
10720,2018,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS III C1,4391627.65,4428880,,2
10721,2018,AGING,SENIOR HUMAN SERVICES PROGRAM,EVIDENCE BASED PROGRAMS,572795,606894,,2
10722,2018,AGING,SENIOR HUMAN SERVICES PROGRAM,AGING,76656.78,129399,,2
10723,2018,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES FOR SENIORS,45113,45113,,2
10724,2018,AGING,AREA PLAN FOR THE AGING TIT 7,OTO NSIP CONGREGATE MEALS III C1,6652,6652,,2
10725,2018,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS III C2,2756742,2758622,,2
10726,2018,AGING,AREA PLAN FOR THE AGING TIT 7,FAMILY CAREGIVER SUPPORT PROGRAM III E,712410,850740,,2
10727,2018,AGING,AREA PLAN FOR THE AGING TIT 7,PREVENTIVE HEALTH FOR SENIORS,15720,15720,,2
10728,2018,AGING,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,3214731.4,3674752,SALARIES AND BENEFITS,2
10729,2018,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 3 MONTH,52433,52522,,2
10730,2018,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS FOR SENIORS,500189,544000,,2
10731,2018,AGING,HEALTH INS COUNS ADV (HICAP),FINANCIAL ALIGNMENT - NEW,11181,28189,,2
10732,2018,AGING,SENIOR CITYRIDE PROGRAM FUND,CITYRIDE PROGRAM,3402864,3708000,,2
10733,2018,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP HOME DELIVERED MEALS III C2,537683,537683,,2
10734,2018,AGING,SENIOR HUMAN SERVICES PROGRAM,EARS,152690.49,152692,,2
10735,2018,AGING,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,1608440.04,1777882,EXPENSES,2
10736,2018,AGING,OTHER PROGRAMS FOR THE AGING,ENROLLEE WAGES,1444876.4,1450864,,2
10737,2018,AGING,AREA PLAN FOR THE AGING TIT 7,AGING,1651451.74,2096835,,2
10738,2018,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREVENTION,51086,51086,,2
10739,2018,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES III B,2466698,2538774,,2
10740,2018,AGING,AREA PLAN FOR THE AGING TIT 7,PREVENTIVE HEALTH III D,218106,220546,,2
10741,2018,AGING,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,13039.63,27788,EXPENSES,2
10742,2018,AGING,GENERAL FUND (GENERAL BUDGET),SALARIES AS NEEDED,168805.83,214362,SALARIES AND BENEFITS,2
10743,2018,AGING,AREA PLAN FOR THE AGING TIT 7,OTO NSIP HOME DELIVERED MEALS III C2,6573,7020,,2
10744,2018,AGING,OMBUDSMAN INITIATIVE PROGRAM F,STATE HEALTH FACILITIES CITATION PENALTIES,256193,256193,,2
10745,2018,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP CONGRAGATE MEALS III C1,527631,527631,,2
10746,2018,AGING,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,54174.84,132040,EXPENSES,2
10747,2018,AGING,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,6000,10218,EXPENSES,2
10748,2018,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS FOR SENIORS,2515642.5,2543845,,2
10749,2018,AGING,TITLE VII OLDER AMERICANS ACT,OMBUDSMAN VII A PROGRAM,87876,87876,,2
10750,2018,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 12 MONTH,362612,402384,,2
10751,2018,AGING,OTHER PROGRAMS FOR THE AGING,AGING,291643.55,291679,,2
10752,2018,AGING,HEALTH INS COUNS ADV (HICAP),AGING,53150.2,57079,,2
10753,2018,AIRPORTS,AIRPORT REVENUE,OVERTIME GENERAL,35427345.67,0,,4
10754,2018,AIRPORTS,AIRPORT REVENUE,HIRING HALL-BENEFITS,1500000,0,,4
10755,2018,AIRPORTS,DEA FEDERAL FORFEIT PROP-LAWA/,OTHER EXPENDITURES,182140.8,0,,4
10756,2018,AIRPORTS,AIRPORT REVENUE,HIRING HALL-SALARIES,2276545.04,0,,4
10757,2018,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,OTHER EXPENDITURES,8205628.52,0,,4
10758,2018,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,OVERTIME GENERAL,2039219.64,0,,4
10759,2018,AIRPORTS,AIRPORT REVENUE,OTHER EXPENDITURES,1943900232.25,0,,4
10760,2018,AIRPORTS,AIRPORT REVENUE FUND-ONTARIO,SALARIES GENERAL,5909208.56,0,,4
10761,2018,AIRPORTS,AIRPORT REVENUE,TRANSPORTATION,160797.63,0,,4
10762,2018,AIRPORTS,AIRPORT INSURANCE TRUST FD ONT,OTHER EXPENDITURES,,0,,4
10763,2018,AIRPORTS,AIRPORT REVENUE,SALARIES GENERAL,283715954.27,0,,4
10764,2018,AIRPORTS,PASSENGER FACILITY CHARGE -LAX,OTHER EXPENDITURES,273795496.24,0,,4
10765,2018,AIRPORTS,PASSENGER FACILITY CHARGE -LAX,SALARIES GENERAL,0,0,,4
10766,2018,AIRPORTS,PASSENGER FACILITY CHARGE -ONT,OTHER EXPENDITURES,44840.74,0,,4
10767,2018,AIRPORTS,AIRPORT REVENUE,HIRING HALL-OVERTIME,88645.08,0,,4
10768,2018,AIRPORTS,AIRPORT REVENUE,OFFICE & ADM,187078.71,0,,4
10769,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-SMART,,150,,6
10770,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,SOUTH LA SHELTER,,5125.1,,6
10771,2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,20536299.63,20732245,SALARIES AND BENEFITS,6
10772,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,VENDING SALES,,6812.74,,6
10773,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-AGAINST ANIMAL CRUELTY,,21171.62,,6
10774,2018,ANIMAL SERVICES,ANIMAL STERILIZATION,ANIMAL SERVICES,299741.14,299741.14,,6
10775,2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),PRIVATE VETERINARY CARE EXPENSE,41195.54,47500,EXPENSES,6
10776,2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,326572.87,335546,EXPENSES,6
10777,2018,ANIMAL SERVICES,ANIMAL STERILIZATION,SPAY & NEUTER PROGRAM,2684981.3,2684981.3,,6
10778,2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,327976.08,338128.62,SALARIES AND BENEFITS,6
10779,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,NO. CENTRAL SHERLTER,,6116.45,,6
10780,2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,7269.09,7500,EXPENSES,6
10781,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,EAST VALLEY SHELTER,,13397.63,,6
10782,2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,156816.66,171907,EXPENSES,6
10783,2018,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),MEDICAL SUPPLIES,480119.93,488591,EXPENSES,6
10784,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,HARBOR SHELTER,,14143.76,,6
10785,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,DONATION-FOSTER,148.43,600,,6
10786,2018,ANIMAL SERVICES,ANIMAL WELFARE TRUST,WEST LA SHELTER,,30615.38,,6
