dr_no,date_rptd,date_occ,time_occ,area,area_name,rpt_dist_no,part_1_2,crm_cd,crm_cd_desc,mocodes,vict_age,vict_sex,vict_descent,premis_cd,premis_desc,weapon_used_cd,weapon_desc,status,status_desc,crm_cd_1,crm_cd_2,location,cross_street,lat,lon
100100864,2010-05-01T00:00:00.000,2010-05-01T00:00:00.000,1650,01,Central,0161,2,624,BATTERY - SIMPLE ASSAULT,0400,39,M,W,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,700 S  FIGUEROA                     ST,,34.0494,-118.2599
100100867,2010-05-02T00:00:00.000,2010-05-02T00:00:00.000,1705,01,Central,0153,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400,47,F,H,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626,,300 W  5TH                          ST,,34.0481,-118.2507
100100869,2010-05-03T00:00:00.000,2010-05-03T00:00:00.000,0220,01,Central,0182,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0411 0906,20,M,H,108,PARKING LOT,206,SWITCH BLADE,AA,Adult Arrest,230,,OLIVE                        ST,9TH                          ST,34.0423,-118.2595
100100872,2010-05-03T00:00:00.000,2010-05-03T00:00:00.000,0746,01,Central,0124,2,755,BOMB SCARE,0404,9,M,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511,VERBAL THREAT,IC,Invest Cont,755,,200 N  SPRING                       ST,,34.0540,-118.2435
100100877,2010-05-05T00:00:00.000,2010-05-05T00:00:00.000,1810,01,Central,0158,2,624,BATTERY - SIMPLE ASSAULT,0416,34,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,7TH                          ST,CERES,34.0377,-118.2425
100100882,2010-05-06T00:00:00.000,2010-05-06T00:00:00.000,0100,01,Central,0163,2,624,BATTERY - SIMPLE ASSAULT,0416,21,M,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,BROADWAY,SPRING                       ST,34.0721,-118.2213
100100883,2010-05-06T00:00:00.000,2010-05-06T00:00:00.000,0400,01,Central,0153,1,210,ROBBERY,0337 0344 0416,48,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,6TH,BROADWAY,34.0467,-118.2520
100100887,2010-05-07T00:00:00.000,2010-05-06T00:00:00.000,1320,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411,23,M,B,210,RESTAURANT/FAST FOOD,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,900 E  6TH                          ST,,34.0398,-118.2413
100100891,2010-05-06T00:00:00.000,2010-05-06T00:00:00.000,1850,01,Central,0166,1,210,ROBBERY,0344 0400,76,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,600    SAN JULIAN                   ST,,34.0428,-118.2461
100100894,2010-05-10T00:00:00.000,2010-05-07T00:00:00.000,1000,01,Central,0143,2,910,KIDNAPPING,0400 0418,48,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,910,,4TH,BROADWAY,34.0495,-118.2494
100100897,2010-05-10T00:00:00.000,2010-05-09T00:00:00.000,2315,01,Central,0159,1,761,BRANDISH WEAPON,0416,62,M,W,101,STREET,207,OTHER KNIFE,IC,Invest Cont,761,,1200 E  6TH                          ST,,34.0382,-118.2384
100100922,2010-05-14T00:00:00.000,2010-05-13T00:00:00.000,0200,01,Central,0157,1,210,ROBBERY,0433,43,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100100924,2010-05-14T00:00:00.000,2010-05-13T00:00:00.000,0130,01,Central,0185,2,624,BATTERY - SIMPLE ASSAULT,0416,40,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,9TH,BROADWAY,34.0423,-118.2561
100100925,2010-05-14T00:00:00.000,2010-05-13T00:00:00.000,0120,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,46,F,B,101,STREET,207,OTHER KNIFE,IC,Invest Cont,230,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100100929,2010-05-14T00:00:00.000,2010-05-13T00:00:00.000,2345,01,Central,0185,2,624,BATTERY - SIMPLE ASSAULT,0416 0417 0429 0907 1402,28,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,998,9TH,SPRING,34.0388,-118.2574
100100932,2010-05-16T00:00:00.000,2010-05-16T00:00:00.000,0100,01,Central,0144,2,624,BATTERY - SIMPLE ASSAULT,0416 0906,27,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,400 S  MAIN                         ST,,34.0482,-118.2472
100100936,2010-05-17T00:00:00.000,2010-05-17T00:00:00.000,1730,01,Central,0182,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1222 2000,19,F,W,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,11TH                         ST,FIGUEROA                     ST,34.0437,-118.2652
100100943,2010-05-19T00:00:00.000,2010-05-16T00:00:00.000,0300,01,Central,0166,2,860,BATTERY WITH SEXUAL CONTACT,0401 0400 0510 1820,59,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,600 S  SAN PEDRO,,34.0423,-118.2452
100100949,2010-05-19T00:00:00.000,2010-05-19T00:00:00.000,0715,01,Central,0153,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 2004,31,F,B,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740,,5TH,WALL,34.0446,-118.2450
100100963,2010-05-22T00:00:00.000,2010-05-22T00:00:00.000,2345,01,Central,0118,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,34,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,200    LEROY                        ST,,34.0649,-118.2289
100100965,2010-05-24T00:00:00.000,2010-05-23T00:00:00.000,1745,01,Central,0171,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,17,F,B,504,OTHER RESIDENCE,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,998,800    JAMES M WOOD                 BL,,34.0462,-118.2628
100100966,2010-05-24T00:00:00.000,2010-05-24T00:00:00.000,0515,01,Central,0154,2,624,BATTERY - SIMPLE ASSAULT,0411 1402,52,M,W,504,OTHER RESIDENCE,207,OTHER KNIFE,AO,Adult Other,624,998,500 S  LOS ANGELES                  ST,,34.0461,-118.2476
100100967,2010-05-24T00:00:00.000,2010-05-24T00:00:00.000,0230,01,Central,0164,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408 0400 0416,32,F,W,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,600 S  MAIN                         ST,,34.0453,-118.2499
100100976,2010-05-30T00:00:00.000,2010-05-30T00:00:00.000,0720,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,39,M,H,102,SIDEWALK,308,STICK,AO,Adult Other,230,998,5TH                          ST,ALAMEDA,34.1779,-118.2962
100100979,2010-05-30T00:00:00.000,2010-05-30T00:00:00.000,0720,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,45,M,H,102,SIDEWALK,308,STICK,AO,Adult Other,230,998,5TH                          ST,ALAMEDA,34.1779,-118.2962
100100980,2010-05-29T00:00:00.000,2010-05-29T00:00:00.000,1100,01,Central,0157,2,624,BATTERY - SIMPLE ASSAULT,0416 1402,54,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,624,998,6TH                          ST,GLADYS                       ST,34.0398,-118.2413
100100981,2010-05-30T00:00:00.000,2010-05-30T00:00:00.000,1800,01,Central,0165,2,624,BATTERY - SIMPLE ASSAULT,0416,48,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,7TH                          ST,MAPLE,34.0419,-118.2485
100100982,2010-05-31T00:00:00.000,2010-05-31T00:00:00.000,1300,01,Central,0138,2,624,BATTERY - SIMPLE ASSAULT,0416 1310,58,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,200    BOYD                         ST,,34.0478,-118.2454
100100983,2010-05-31T00:00:00.000,2010-05-31T00:00:00.000,1935,01,Central,0192,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429,63,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308,STICK,IC,Invest Cont,230,,1300 S  FLOWER                       ST,,34.0401,-118.2668
100100984,2010-05-31T00:00:00.000,2010-05-31T00:00:00.000,2140,01,Central,0154,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0401 0416,33,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,5TH,LOS ANGELES                  ST,34.0461,-118.2476
100100985,2010-05-31T00:00:00.000,2010-05-31T00:00:00.000,1740,01,Central,0162,1,210,ROBBERY,0325 0416 1402,30,M,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,998,700 W  7TH                          ST,,34.0480,-118.2577
100100986,2010-06-01T00:00:00.000,2010-05-31T00:00:00.000,2350,01,Central,0162,1,210,ROBBERY,0344 0370 0400 0429,30,M,H,124,BUS STOP,207,OTHER KNIFE,IC,Invest Cont,210,,7TH,GRAND                        AV,34.0473,-118.2566
100100987,2010-06-01T00:00:00.000,2010-06-01T00:00:00.000,0030,01,Central,0139,1,210,ROBBERY,0337 0344 0400,25,F,W,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,1ST,ALAMEDA                      ST,34.0490,-118.2381
100100988,2010-06-01T00:00:00.000,2010-06-01T00:00:00.000,0045,01,Central,0195,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,22,M,H,101,STREET,309,BOARD,IC,Invest Cont,230,998,16TH,MAIN                         ST,34.0333,-118.2620
100100989,2010-05-31T00:00:00.000,2010-05-31T00:00:00.000,1500,01,Central,0121,1,330,BURGLARY FROM VEHICLE,0344 1609,34,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,330,,FIGUEROA,TEMPLE,34.0598,-118.2477
100100993,2010-06-02T00:00:00.000,2010-06-02T00:00:00.000,1950,01,Central,0155,1,220,ATTEMPTED ROBBERY,0400 0416 0429 1402,17,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,998,6TH                          ST,MAPLE                        ST,34.0435,-118.2471
100100995,2010-06-04T00:00:00.000,2010-06-03T00:00:00.000,2050,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416,43,F,B,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100100997,2010-06-04T00:00:00.000,2010-06-04T00:00:00.000,1430,01,Central,0118,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 2000,43,M,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,200    SOTELLO                      ST,,34.0668,-118.2301
100100998,2010-06-04T00:00:00.000,2010-06-04T00:00:00.000,0800,01,Central,0101,2,624,BATTERY - SIMPLE ASSAULT,0360 0416 0602 1202,83,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,800    CENTENNIAL                   ST,,34.0652,-118.2468
100100999,2010-06-04T00:00:00.000,2010-06-04T00:00:00.000,1620,01,Central,0152,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,32,F,O,702,OFFICE BUILDING/OFFICE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,500 W  6TH                          ST,,34.0481,-118.2542
100101009,2010-06-07T00:00:00.000,2010-06-06T00:00:00.000,0945,01,Central,0153,1,210,ROBBERY,0315 0325 0344,49,M,O,201,JEWELRY STORE,512,MACE/PEPPER SPRAY,AA,Adult Arrest,210,999,600 S  BROADWAY                     ST,,34.0467,-118.2520
100101010,2010-06-07T00:00:00.000,2010-06-06T00:00:00.000,1945,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,0416 0417,40,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,600 S  SAN JULIAN                   ST,,34.0428,-118.2461
100101011,2010-06-07T00:00:00.000,2010-06-07T00:00:00.000,0045,01,Central,0124,2,624,BATTERY - SIMPLE ASSAULT,0416,9,F,H,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,200 N  MAIN                         ST,,34.0532,-118.2425
100101015,2010-06-08T00:00:00.000,2010-06-08T00:00:00.000,1810,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1402,44,M,W,101,STREET,204,FOLDING KNIFE,IC,Invest Cont,230,998,ALAMEDA                      ST,6TH                          ST,34.0382,-118.2384
100101017,2010-06-08T00:00:00.000,2010-06-08T00:00:00.000,2245,01,Central,0155,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1402,46,M,B,102,SIDEWALK,206,SWITCH BLADE,IC,Invest Cont,230,998,MAPLE                        AV,6TH                          ST,34.0439,-118.2479
100101019,2010-06-10T00:00:00.000,2010-06-10T00:00:00.000,1150,01,Central,0185,2,624,BATTERY - SIMPLE ASSAULT,0400,24,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,300 E  11TH                         ST,,34.0378,-118.2561
100101023,2010-06-10T00:00:00.000,2010-06-10T00:00:00.000,1935,01,Central,0138,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,29,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,300 S  WALL                         ST,,34.0480,-118.2438
100101024,2010-06-10T00:00:00.000,2010-06-10T00:00:00.000,2030,01,Central,0138,1,210,ROBBERY,0416 0429,34,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,ALAMEDA                      ST,3RD                          ST,34.0455,-118.2381
100101028,2010-06-11T00:00:00.000,2010-06-11T00:00:00.000,1910,01,Central,0123,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,37,M,O,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,230,,200 W  TEMPLE                       ST,,34.0549,-118.2426
100101032,2010-06-12T00:00:00.000,2010-06-12T00:00:00.000,1330,01,Central,0153,2,623,BATTERY POLICE (SIMPLE),0416,40,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,623,,BROADWAY                     ST,5TH                          ST,34.0467,-118.2520
100101033,2010-06-12T00:00:00.000,2010-06-12T00:00:00.000,1435,01,Central,0176,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,20,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,SAN JULIAN,ALAMEDA                      ST,34.0404,-118.2504
100101034,2010-06-12T00:00:00.000,2010-06-12T00:00:00.000,1810,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0319 0400 1402,49,M,B,101,STREET,302,BLUNT INSTRUMENT,AO,Adult Other,230,998,7TH                          ST,CERES,34.0377,-118.2425
100101036,2010-06-13T00:00:00.000,2010-06-03T00:00:00.000,1630,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,0416 2000,45,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,500 E  7TH                          ST,,34.0412,-118.2474
100101039,2010-06-14T00:00:00.000,2010-06-14T00:00:00.000,1645,01,Central,0119,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,0400,0,F,H,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,235,,900 N  VIGNES                       ST,,34.0566,-118.2319
100101045,2010-06-16T00:00:00.000,2010-06-15T00:00:00.000,0705,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0400,37,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,5TH                          ST,WALL                         ST,34.0446,-118.2450
100101049,2010-06-15T00:00:00.000,2010-06-11T00:00:00.000,1900,01,Central,0166,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,49,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100101082,2010-06-19T00:00:00.000,2010-06-19T00:00:00.000,0315,01,Central,0157,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,31,M,B,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230,,6TH,CROCKER,34.0412,-118.2436
100101091,2010-06-21T00:00:00.000,2010-06-21T00:00:00.000,2350,01,Central,0105,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,400    SOLANO                       AV,,34.0710,-118.2302
100101103,2010-06-22T00:00:00.000,2010-06-22T00:00:00.000,1830,01,Central,0152,2,624,BATTERY - SIMPLE ASSAULT,0416 0417 0429,32,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,600 W  6TH                          ST,,34.0488,-118.2553
100101104,2010-06-23T00:00:00.000,2010-06-23T00:00:00.000,1550,01,Central,0162,1,210,ROBBERY,0344 0416,29,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,8TH,HILL                         ST,34.0452,-118.2569
100101111,2010-06-24T00:00:00.000,2010-06-24T00:00:00.000,0001,01,Central,0142,1,210,ROBBERY,0302 0337 0344 0400 1300 1402,33,M,W,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,210,998,3RD                          ST,FLOWER,34.0544,-118.2535
100101114,2010-06-24T00:00:00.000,2010-06-24T00:00:00.000,1215,01,Central,0111,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,59,M,H,101,STREET,307,VEHICLE,IC,Invest Cont,230,,700 N  GRAND                        AV,,34.0626,-118.2433
100101115,2010-06-24T00:00:00.000,2010-06-24T00:00:00.000,1650,01,Central,0185,2,625,OTHER ASSAULT,0416 1212,35,M,H,101,STREET,307,VEHICLE,IC,Invest Cont,625,,PICO,MAPLE                        ST,34.0346,-118.2572
100101118,2010-06-25T00:00:00.000,2010-06-25T00:00:00.000,2300,01,Central,0182,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1241 2000,34,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,1100 S  GRAND                        AV,,34.0416,-118.2620
100101120,2010-06-26T00:00:00.000,2010-06-25T00:00:00.000,2345,01,Central,0153,1,121,"RAPE, FORCIBLE",0319 0400 0500 0522,13,F,B,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,500 S  SPRING                       ST,,34.0474,-118.2496
100101121,2010-06-26T00:00:00.000,2010-06-26T00:00:00.000,0830,01,Central,0111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1243 2000,19,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,LOS ANGELES                  ST,ALAMEDA,34.0563,-118.2374
100101125,2010-06-28T00:00:00.000,2010-06-28T00:00:00.000,0300,01,Central,0153,1,210,ROBBERY,0305 0337 0344 0416 0429,30,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,500 S  HILL                         ST,,34.0488,-118.2518
100101136,2010-06-29T00:00:00.000,2010-06-29T00:00:00.000,1430,01,Central,0195,2,624,BATTERY - SIMPLE ASSAULT,0416 1300,17,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,17TH                         ST,HILL                         ST,34.0340,-118.2651
100101137,2010-06-29T00:00:00.000,2010-06-29T00:00:00.000,1430,01,Central,0195,2,624,BATTERY - SIMPLE ASSAULT,0416 1217 1251 1300,18,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,17TH                         ST,HILL                         ST,34.0340,-118.2651
100101148,2010-07-01T00:00:00.000,2010-06-30T00:00:00.000,2115,01,Central,0158,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408 0416 2000,48,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,500    CERES                        AV,,34.0416,-118.2398
100101153,2010-07-02T00:00:00.000,2010-07-02T00:00:00.000,0200,01,Central,0147,1,210,ROBBERY,0305 0344 0416 0429,49,M,W,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,300 E  5TH                          ST,,34.0449,-118.2458
100101162,2010-07-03T00:00:00.000,2010-07-03T00:00:00.000,1330,01,Central,0156,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0411 0906,31,M,B,101,STREET,207,OTHER KNIFE,IC,Invest Cont,230,,6TH,SAN JULIAN,34.0423,-118.2452
100101167,2010-07-05T00:00:00.000,2010-07-04T00:00:00.000,2330,01,Central,0148,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,29,M,B,104,DRIVEWAY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,SAN PEDRO,WINSTON,34.0450,-118.2435
100101173,2010-07-05T00:00:00.000,2010-07-05T00:00:00.000,0110,01,Central,0143,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0429,26,M,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,4TH,HILL,34.0503,-118.2504
100101174,2010-07-05T00:00:00.000,2010-07-05T00:00:00.000,0230,01,Central,0162,1,210,ROBBERY,0305 0334 0344 0411 1206,26,M,H,101,STREET,204,FOLDING KNIFE,IC,Invest Cont,210,,7TH,FLOWER,34.0487,-118.2588
100101182,2010-07-07T00:00:00.000,2010-07-07T00:00:00.000,1610,01,Central,0176,1,210,ROBBERY,0344 0411,52,M,W,102,SIDEWALK,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,210,,7TH                          ST,SAN PEDRO,34.0407,-118.2468
100101189,2010-07-08T00:00:00.000,2010-07-08T00:00:00.000,2135,01,Central,0154,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0429 1402,28,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,998,MAIN                         ST,5TH                          ST,34.0467,-118.2485
100101190,2010-07-08T00:00:00.000,2010-07-08T00:00:00.000,1040,01,Central,0144,1,220,ATTEMPTED ROBBERY,0334 0400 1402,46,F,W,210,RESTAURANT/FAST FOOD,113,SIMULATED GUN,AO,Adult Other,220,998,MAIN                         ST,4TH                          ST,34.0482,-118.2472
100101191,2010-07-09T00:00:00.000,2010-07-09T00:00:00.000,0235,01,Central,0185,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,22,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,9TH,HILL                         ST,34.0430,-118.2571
100101198,2010-07-10T00:00:00.000,2010-07-10T00:00:00.000,1715,01,Central,0148,2,624,BATTERY - SIMPLE ASSAULT,0416,34,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,4TH                          ST,SAN PEDRO,34.0454,-118.2422
100101203,2010-07-11T00:00:00.000,2010-07-11T00:00:00.000,1435,01,Central,0146,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,57,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,WALL,WINSTON,34.0455,-118.2452
100101204,2010-07-12T00:00:00.000,2010-07-12T00:00:00.000,0055,01,Central,0162,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 1402,63,M,B,124,BUS STOP,511,VERBAL THREAT,IC,Invest Cont,930,998,OLIVE,7TH                          ST,34.0452,-118.2569
100101205,2010-07-12T00:00:00.000,2010-07-12T00:00:00.000,1700,01,Central,0166,2,624,BATTERY - SIMPLE ASSAULT,0416,33,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,5TH                          ST,SAN JULIAN,34.0446,-118.2450
100101209,2010-07-13T00:00:00.000,2010-07-13T00:00:00.000,1240,01,Central,0111,2,623,BATTERY POLICE (SIMPLE),0400 0416 1212 1402,0,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623,998,HILL                         ST,COLLEGE,34.0650,-118.2384
100101213,2010-07-13T00:00:00.000,2010-07-13T00:00:00.000,2105,01,Central,0148,1,210,ROBBERY,0344 0400 0416,21,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,,SAN PEDRO,WINSTON                      ST,34.0450,-118.2435
